Number,Proposition,Type_1,Type_2,Tyoe_3
92,"CRY, MUKI, TEARS",Emo_Neg,,
129,"WITH, 128, RETCH",Emo_Neg,,
177,"DESTRUCTION, HOMES",Emo_Neg,,
17,"SOURCE OF JOYS, MUKI, MATA, PATA",Emo_Posi,,
63,"BE LOVED, 59",Emo_Posi,,
206,"LAUGH, CHILD",Emo_Posi,,
209,"HAPPY, MUKI",Emo_Posi,,
240,"GOOD, 239",Emo_Posi,,
260,"BE LOVED, 254",Emo_Posi,,
158,"OUGHT TO, 156",Moral,,
189,"OUGHT TO, 187",Moral,,
192,"SHOULD NOT, 187",Moral,,
198,"MUST, 197",Moral,,
201,"RIGHT, 200",Moral,,
248,"MUST NEVER AGAIN, 247",Moral,,
12,"SO, 7, 9",Rational,,
50,"SEND UP, 49, SPARK",Rational,,
79,"UNTIL, 77, 78",Rational,,
104,"FROM, HAIRS, PATA, CHIN, 103",Rational,,
143,"BECAUSE, NOT CAUGHT, 142",Rational,,
195,"BECAUSE, 192, 193, 194, 191",Rational,,
202,"FOR, 198, 201",Rational,,
207,"UNTIL, 205, 206",Rational,,
214,"AS, 211, 213",Rational,,
233,"BECAUSE, 231, 229",Rational,,
242,"BECAUSE, 240, 241, 236",Rational,,
264,"BECAUSE, 263, 261",Rational,,
3,"TOGETHER, MATA, PATA",Social_Basic,,
8,"MARRIAGE, MATA, PATA",Social_Basic,,
15,"WITH, MATA, PATA, MUKI",Social_Basic,,
16,"CHILD, MUKI, MATA, PATA",Social_Basic,,
20,"WITH, MATA, CHILD",Social_Basic,,
25,"SLOW, MUKI, MATA, PATA",Social_Basic,,
41,"PLACE, MATA, MUKI, HAMMOCK",Social_Basic,,
46,"FROM, PATA, CHIN, 44",Social_Basic,,
58,"FOR, 57, MUKI",Social_Basic,,
59,"WHISPER, MATA, PATA, MUKI",Social_Basic,,
111,"SNATCH UP, MUKI, SPIDER",Social_Basic,,
119,"DROP, MUKI, HALF SNAKE",Social_Basic,,
128,"SPIT OUT, MUKI, SNAKE",Social_Basic,,
203,"CLIMB ACROSS, SNAKE, WOLF, SPIDER, BELLY",Social_Basic,,
205,"TICKLE, 203, 204, CHILD",Social_Basic,,
238,"OUR, ANCESTORS",Social_Basic,,
254,"SAY, PEOPLE, CHILDREN",Social_Basic,,
255,"OUR, PEOPLE",Social_Basic,,
256,"OUR, CHILDREN",Social_Basic,,
141,"NOT GO NEAR, SPIDER, CHILD, 139",Social_Gossip,,
184,"HEAR, BIRD, VOICES, 180",Social_Gossip,,
187,"GIVE, CHILD, PEOPLE, 180",Social_Gossip,,
190,"SEARCH FOR, PEOPLE, CHILD",Social_Gossip,,
193,"ARE NOT, CHILD, PEOPLE",Social_Gossip,,
197,"BE PEOPLE OF, ANIMALS, CHILD, 196",Social_Gossip,,
251,"RETURN FOR, MATA, CHILD",Social_Gossip,,
252,"RETURN FOR, PATA, CHILD",Social_Gossip,,
37,"SHAPE, PATA, CLAY, HAMMOCK",Survival,,
39,"WEAVE TOGETHER, PATA, STRANDS",Survival,,
48,"STRIKE, PATA, FLINT",Survival,,
100,"SPROUT FROM, FRUIT, BRANCHES",Survival,,
101,"MANY COLORS, FRUIT",Survival,,
127,"FULL OF, FANGS, VENOM",Survival,,
160,"HAVE, FISH, RIVER",Survival,,
162,"HAVE, WOLF, FORESTS",Survival,,
164,"HAVE, SNAKE, PLAINS",Survival,,
170,"HAVE, SPIDER, PLACES, 169",Survival,,
178,"ANIMALS, HOMES",Survival,,
234,"CHANGE, SEASONS",Survival,,
235,"BRING, SUN, 234",Survival,,
241,"FERTILE, 239",Survival,,
245,"PROTECT, MOUNTAIN, VILLAGE",Survival,,
1,"BEGINNING, TIMES",,,
2,"RUN AWAY FROM, MATA, PATA, PLACE OF PEOPLE",,,
4,"FAR AWAY, PLACE OF PEOPLE",,,
10,"OUR, WORLD",,,
11,"HERE, WORLD",,,
13,"PLAIN, WORLD",,,
14,"VAST, PLAIN",,,
18,"GREATEST, JOYS",,,
19,"REST, MATA",,,
21,"AT BREAST, CHILD, MATA",,,
22,"SLEEP, CHILD",,,
23,"SHORT, REST",,,
26,"NEED MOST, MATA, PATA, SPEED",,,
27,"WHEN, 25, 26",,,
28,"TAKE, PATA, CLAY",,,
29,"BLACK, CLAY",,,
30,"FROM PACK, CLAY",,,
31,"BREATHE ON, MATA, CLAY",,,
32,"SHAPE, MATA, CLAY",,,
33,"WITH, 32, HANDS",,,
34,"ROLL, MATA, CLAY",,,
35,"WARM, 34",,,
36,"ROUND, 34",,,
38,"WITH, 37, HANDS",,,
42,"CAREFULLY, 41",,,
44,"PLUCK MATA, HAIRS",,,
45,"FROM, MATA, HEAD, 44",,,
47,"SCATTER ACROSS, MATA, HAIRS, GROUND",,,
49,"PATA, FLINT",,,
52,"BRIGHT, SPARK",,,
53,"FIERY, SPARK",,,
55,"BRING TO, SPARK, WARMTH, WORLD",,,
56,"BRING TO, SPARK, LIGHT, WORLD",,,
57,"SWEAR TO RETURN, MATA, PATA",,,
60,"SLEEP, 59",,,
61,"DEEPLY, SLEEP",,,
62,"GROW, 59",,,
64,"WAKE, MUKI",,,
65,"FROM DREAMING, 64",,,
66,"WANT, MUKI, MATA, BREAST",,,
68,"WANT, MUKI, PATA, HANDS",,,
69,"STEADY, HANDS",,,
70,"FOR, 68, COMFORT",,,
71,"ARE NO LONGER, MATA, PATA, THERE",,,
72,"WHEN, 64, 71",,,
74,"QUAKE, EARTH",,,
75,"SHUDDER, EARTH",,,
80,"LEAVE IN, SPARK, CHILD, DARKNESS",,,
81,"LEAVE IN, SPARK, WORLD, DARKNESS",,,
82,"GRAB FISTS FULL OF, MUKI, CLAY",,,
84,"STEEP, VALLEYS",,,
87,"POUND IN, CHILD, HEELS, EARTH",,,
88,"KICKING, HEELS",,,
89,"STAIN, BLOOD, CLAY",,,
93,"HUGE, TEARS",,,
95,"GROW, FOREST OF TREES",,,
97,"GROW, TREES",,,
98,"STRONG, TREES",,,
99,"TALL, TREES",,,
102,"TREES, BRANCHES",,,
105,"ON SHORES OF, 104, GREAT RIVER",,,
106,"CRAWL UP FROM, SPIDERS, BED OF CLAY",,,
107,"MOVE, SPIDERS, LEGS",,,
108,"EIGHT, LEGS",,,
109,"LONG, LEGS",,,
110,"WIRY, LEGS",,,
113,"ONE BY ONE, 112",,,
114,"WRIGGLE, SPIDER",,,
118,"IN TWO, 117",,,
120,"INTO WATER, 119",,,
122,"SWIMMING, FISH",,,
124,"TRY, MUKI, 123",,,
125,"HALF SNAKE, OTHER",,,
130,"CRAWL, SPIDER, UP",,,
132,"FOUR, 131",,,
133,"GROW, SPIDER",,,
134,"LARGE, 133",,,
136,"STRONG, WOLF",,,
137,"BOUND AWAY, WOLF",,,
138,"INTO, 137, TREES",,,
140,"NEXT, SPIDER",,,
144,"TWIST AROUND, SPIDER, LEGS, LEGS",,,
145,"SIX, LEGS",,,
146,"WIRY, LEGS",,,
148,"FLAP, WINGS",,,
149,"SOAR ABOVE, SPIDER, FOREST",,,
153,"LAST, SPIDER",,,
154,"IN, 152, FOREST",,,
155,"BY, 152, GREAT RIVER",,,
156,"LIVE, WAYS, ANIMALS",,,
157,"DIFFERENT, WAYS",,,
161,"WINDING, RIVER",,,
163,"SHADOWED, FORESTS",,,
165,"BROAD, PLAINS",,,
167,"OPEN, SKIES",,,
168,"FOR, 161, BIRD",,,
171,"HIDING, PLACES",,,
174,"CONTINUE, 173",,,
175,"AS, 171, 174",,,
179,"HOW STOP, ANIMALS, 177, 176",,,
181,"FLEW, BIRD, 180",,,
182,"HIGH, FLEW",,,
183,"FAST, FLEW",,,
186,"SHOUTING, VOICES",,,
188,"OTHER, PEOPLE",,,
199,"IN NEED, CHILDREN",,,
200,"LOOK AFTER, 199",,,
204,"CHILD, BELLY",,,
208,"FALL BACK ONTO, MUKI, EARTH",,,
210,"QUIET, MUKI",,,
211,"IS IN, WORLD, DARKNESS",,,
212,"STILL, 211",,,
213,"IS NOT IN, LIGHT, SKY",,,
215,"SEE IN, SPIDER, SPARK, SKY",,,
218,"BE, SPARK, SUN, 217",,,
219,"FOR, 218, WORLD",,,
220,"OUR, WORLD",,,
221,"LIGHT, SUN, SKIES",,,
222,"LIGHT, SUN, LAND",,,
223,"WAKE, MUKI",,,
226,"DARKEN, WORLD",,,
227,"SLEEP, MUKI",,,
229,"SHINE, SUN",,,
231,"HAVE, PURPOSE",,,
237,"ANCESTORS, PEOPLE",,,
239,"AROUND, LAND, MUKI",,,
244,"CALL, CHILD, MUKI",,,
246,"OUR, VILLAGE",,,
247,"BE, CHILD, ALONE",,,
249,"KNOW THEN, US, 248",,,
250,"KNOW TODAY, US, 248",,,
253,"WAIT, US, 251, 252",,,
257,"SLEEP, 254",,,
258,"DEEPLY, SLEEP",,,
259,"GROW, 254",,,
262,"NOT ALONE, MUKI",,,
