Number,Proposition,Type_1,Type_2
205,"LIKE, 203, WOMAN, 195",Social_Gossip,
218,"SPEAK OF IN, HUSBAND, WOMEN, ARMS, 216",Social_Gossip,
245,"TAKE AWAY, TORO, PLAYMATES",Social_Gossip,
2,"ROW THROUGH, TAKA, TORO, STORM",Survival,
50,"CUT WITH, TORO, LEAVES, KNIFE",Survival,
51,"WEAVE TOGETHER, TORO, LEAVES",Survival,
52,"BIND WITH, TORO, LEAVES, ROPE",Survival,
100,"TAKE, HOMES, ANTS",Survival,
111,"WEAVE, TORO, LEAVES",Survival,
137,"ARE, FISH, MANY",Survival,
149,"SEND TO, SEA, COCONUTS, SHORES",Survival,
152,"SPROUT INTO, COCONUTS, GROVES",Survival,
162,"TASTY, ANTS",Survival,
197,"ARE, FISH, SO MANY",Survival,
206,"ARE AT, PALMS, ISLAND, 195",Survival,
231,"READY, PEOPLE, BOATS",Survival,
249,"SUMMER, STORMS",Survival,
263,"WINTER, WINDS",Survival,
265,"BRING, WINDS, PROSPERITY",Survival,
1,"BEGINNING, TIMES",,
4,"YOUNGER, BROTHER",,
6,"ROCKY, ISLAND",,
7,"IN, ISLAND, SEA",,
8,"STEP ASHORE, TAKA",,
10,"SHARP, ROCKS",,
11,"TAKA, FEET",,
12,"TOUCH, BLOOD, EVERYWHERE",,
14,"SPRING FORTH, LIFE",,
16,"TAKE ROOT, GRASSES",,
17,"TAKE ROOT, TREES",,
18,"ARISE, PEOPLE",,
21,"ANCESTORS, PEOPLE",,
28,"PLAY WITH, TAKA, ANCESTORS",,
29,"IS ALWAYS WITH, TAKA, BUSY, 28",,
30,"TOO, BUSY",,
32,"BIRD, PUNA",,
33,"IN PALM, PUNA",,
39,"MAKE, TORO, ISLAND",,
40,"OWN, TORO, ISLAND",,
41,"DECIDE, TORO, 39",,
42,"THINK, TORO",,
43,"NEW, ISLAND, 42",,
44,"BETTER, ISLAND, 42",,
46,"WANT WITH, 45, TORO",,
49,"CLIMB UP, TORO, PALM",,
54,"ARE, RAFT, LEAVES",,
55,"ARE NOT, ISLAND, LEAVES",,
58,"CLEVER, TORO",,
59,"SAY, TORO",,
63,"FULL, BELLIES",,
64,"PUNA, FAMILY, BELLIES",,
75,"NEVER FULL, BELLIES, 74",,
76,"PUNA, FAMILY, BELLIES",,
77,"IS, WHAT, PLAN, 74",,
78,"YOUR, PLAN",,
79,"PLACE, TORO, FINGERS, MOUTH",,
80,"TORO, FINGERS",,
81,"TORO, MOUTH",,
82,"BLOW, TORO, WHISTLE",,
83,"PIERCING, WHISTLE",,
84,"FALL FROM, PUNA, PERCH",,
87,"COME FROM, MASS, JUNGLE",,
88,"IS, MASS, ANTS",,
89,"RED, ANTS",,
92,"IN, 91, VOICES",,
93,"MANY, VOICES",,
94,"TINY, VOICES",,
96,"BUILD, TORO, ISLAND, 95",,
97,"NEW, ISLAND",,
99,"LIVE FIRST, ANTS, ISLAND",,
101,"BEST, HOMES",,
102,"FOR, 100, ANTS",,
105,"COME MARCHING OUT OF, ANTS, JUNGLE",,
106,"THOUSANDS, ANTS",,
107,"CARRY, ANTS, LEAVES",,
108,"PALM, LEAVES",,
109,"ON, 107, BACKS",,
110,"ANTS, BACKS",,
112,"CONTINUE, 111",,
113,"GROW, RAFT",,
114,"LARGE, RAFT",,
115,"IS BIGGER THAN, RAFT, ISLAND",,
116,"TAKA, ISLAND",,
117,"THAT, 113, 115",,
118,"CRAWL UP ONTO, ANTS, RAFT",,
123,"GRAB HOLD OF, BIRDS, EDGES",,
124,"ISLAND, EDGES",,
125,"NEW, ISLAND",,
127,"TAKA, BEACH",,
129,"WHEN, 122, 123, 126, 128",,
131,"FOUR TIMES, 130",,
132,"UNDER WATCH OF, 130, MOON",,
134,"FIVE TIMES, 133",,
135,"UNDER WATCH OF, 133, SUN",,
136,"COME TO, ALL, PLACE",,
138,"WHERE, 136, 137",,
139,"SWIM DOWN, TORO",,
141,"NOT FLOAT AWAY, ISLAND",,
143,"COVER WITH, TORO, ISLAND, SOIL",,
145,"HUGE, MOUNTAINS",,
147,"TORO, ISLAND",,
148,"NEW, ISLAND",,
150,"ISLAND, SHORES",,
153,"THICK, GROVES",,
154,"PALMS, GROVES",,
156,"SAY TO, TORO, SELF",,
157,"IS NOW, ISLAND, 156",,
158,"BEST OF ALL, ISLAND, 156",,
159,"COME, PUNA, ISLAND",,
160,"ONLY, 159",,
161,"ARE MORE, ANTS",,
163,"SEE WHETHER, PUNA, 161",,
166,"REACH BENEATH, TORO, WAVES",,
170,"OF, NEWS, ISLAND",,
171,"THIS, ISLAND",,
172,"TAKA, PEOPLE",,
173,"MUST, 169",,
174,"IS, CRAB, NAME, KAWA",,
175,"NARROW, KAWA, EYES",,
176,"BEADY, EYES",,
178,"IS, WAY TO ISLAND, LONG",,
179,"SWIM, KAWA, 178",,
180,"IS TOO LAZY TO, KAWA, 179, 177",,
181,"FLY DOWN, PUNA",,
184,"ALWAYS, 183",,
186,"CARRY, PUNA, SHELL",,
187,"KAWA, SHELL",,
189,"OF, WHISPERS, ISLAND",,
190,"DROP ON, PUNA, SHELL, BEACH",,
191,"TAKA, BEACH",,
193,"ACROSS, 192, ISLAND",,
194,"TAKA, ISLAND",,
198,"IN, FISH, SEA",,
199,"NO ROOM FOR, 198",,
201,"AT, 200, ISLAND, 195",,
202,"OTHER, ISLAND",,
203,"LEAP OUT OF INTO, FISH, WATER, ARMS",,
204,"MAN, ARMS",,
207,"MANY, PALMS",,
208,"OTHER, ISLAND",,
209,"ARE MORE THAN, HERE, NEIGHBORS, TREES",,
211,"NOT HEAR CLEARLY, OTTA, WORDS",,
212,"HUSBAND, WORDS",,
213,"CRASH, WAVES",,
219,"OTHER, WOMEN",,
220,"HUSBAND, ARMS",,
222,"OTTA, SPIRIT",,
223,"THIS, WAY",,
225,"GO TO, HUSBAND, PLACE",,
226,"NEW, PLACE",,
227,"ALONE, 225",,
228,"WISH TO, 226",,
229,"NOT BE SORRY, OTTA",,
233,"OF, ISLAND, PEOPLE",,
234,"TAKA, ISLAND",,
235,"PEOPLE, BOATS",,
236,"COME TO, PEOPLE, ISLAND",,
237,"ANCESTORS, PEOPLE",,
239,"TORO, ISLAND",,
240,"CALL, US, ISLAND, HOME",,
241,"IS ALL PROMISED, ISLAND",,
242,"SEE, PEOPLE, 241",,
246,"TAKA, PLAYMATES",,
251,"OUR, HOMES",,
252,"TWO, HOMES",,
253,"MAKE, 248, 250",,
255,"IS, TAKA, OLDER SISTER",,
258,"IN SPITE OF, 256, TAKA",,
260,"LIKE, 259, 258",,
264,"TRADE, WINDS",,
267,"WHICH, 262, 265, 266",,
268,"REMEMBER, US, 267",,
270,"HAVE, US, FORTUNE",,
273,"CELEBRATE, US",,
